Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Pay Rate,FTE,Accept References?,Created Date,Closing Date,Anticipated Start Date
On-Campus Adjunct Faculty - Physics (Interest Application),0602080,Physics,6,Closed,"October 01, 2018 at 12:00 AM",6,2,Dependent on education and experience.,,No,"October 11, 2017 at 12:38 PM",30.09.2018,
On-Campus Adjunct Faculty - Mathematics (Interest Application),0602081,Mathematics,23,Closed,"October 01, 2018 at 12:00 AM",26,4,Dependent on education and experience.,,No,"October 11, 2017 at 01:05 PM",30.09.2018,
"Salad Preparer (2 Positions, Part-Time)",0602083,University Food Services,0,Filled,"December 22, 2017 at 12:14 PM",18,17,General information available to applicants.,.30,,"October 11, 2017 at 03:14 PM",10.11.2017,November or December 2017
University Village Manager,0602085,Housing & Student Living,0,Closed,"January 02, 2018 at 01:43 PM",20,14,General information available to applicants.,.65,,"October 16, 2017 at 09:15 AM",01.11.2017,November 2017
On-Campus Adjunct Faculty - Religious Education (Interest Application),0602087,Religious Education,32,Closed,"October 01, 2018 at 12:00 AM",36,26,Dependent on education and experience.,,No,"October 16, 2017 at 11:52 AM",30.09.2018,
On-Campus Adjunct Faculty - Teacher Education (Interest Application),0602090,Teacher Education,66,Closed,"October 01, 2018 at 12:00 AM",71,35,Dependent on education and experience.,,No,"October 18, 2017 at 11:24 AM",30.09.2018,
Mechanical Engineering - Anticipated for Fall 2018,0602092,Mechanical and Civil Engineering,0,Filled,"May 14, 2018 at 04:21 PM",18,5,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"October 19, 2017 at 09:02 AM",02.01.2018,Tentatively 8/22/2018
Office Assistant,0602102,History/Geography/Poli Science,0,Filled,"December 08, 2017 at 11:44 AM",29,5,General information available to applicants.,.83,,"October 30, 2017 at 10:13 AM",15.11.2017,December 2017
CIT Faculty - Cloud Computing - Anticipated for Fall 2018,0602101,Computer Information Technology,0,Filled,"March 23, 2018 at 04:19 PM",9,3,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"October 31, 2017 at 09:21 AM",06.01.2018,Tentatively 8/22/2018
Support Processing Coordinator,0602103,Pathway,0,Filled,"February 27, 2018 at 09:42 AM",27,5,General information available to applicants.,1.00,,"November 04, 2017 at 11:04 AM",28.11.2017,January 2018
Biller,0602104,Student Health Center,0,Filled,"December 08, 2017 at 11:05 AM",7,2,General information available upon request.,.75,,"November 08, 2017 at 08:26 AM",29.11.2017,January 2018
Office Assistant,0602106,Mechanical and Civil Engineering,0,Filled,"January 23, 2018 at 12:59 PM",22,7,General information available to applicants.,1.00,,"November 10, 2017 at 08:48 AM",06.12.2017,January 2018
Human Resources Generalist,0602108,Human Resources,0,Filled,"December 20, 2017 at 09:20 AM",13,3,General information available to applicants.,1.00,,"November 10, 2017 at 11:29 AM",30.11.2017,January 2018
Office Assistant,0602109,Health Programs Outreach,0,Filled,"January 25, 2018 at 04:47 PM",22,7,General information available to applicants.,1.00,,"November 17, 2017 at 01:12 PM",15.12.2017,January 2018
Operations Coordinator,0602110,Testing Center,0,Filled,"January 16, 2018 at 10:49 AM",49,11,General information available to applicants.,1.00,,"November 17, 2017 at 03:05 PM",16.12.2017,January 2018
Account Collections Coordinator,0602114,Accounting Services,0,Filled,"January 05, 2018 at 02:17 PM",17,7,General information available to applicants.,1.00,,"November 30, 2017 at 11:16 AM",14.12.2017,January 2018
Landscape Designer,0602117,Grounds,0,Filled,"January 19, 2018 at 01:21 PM",10,2,General information available upon request.,1.00,,"December 06, 2017 at 03:31 PM",02.01.2018,January or February 2018
Office Assistant (Part-time),0602116,Dance,0,Filled,"January 08, 2018 at 09:53 AM",21,9,General information available upon request.,.40,,"December 07, 2017 at 12:04 PM",02.01.2018,February 2018
Theatre Costume Director,0602122,Theatre & Dance,0,Filled,"May 25, 2018 at 07:57 AM",12,2,General information available to applicants.,1.00,,"December 22, 2017 at 02:01 PM",17.02.2018,"April 16, 2018"
Career and Academic Advisor – Health Professions,0602124,Career & Academic Advising,0,Filled,"February 21, 2018 at 02:39 PM",39,6,General information available to applicants.,1.00,,"December 22, 2017 at 03:16 PM",17.01.2018,March 2018
Contracting & Supplier Relationship Manager,0602125,Purchasing & Travel,0,Filled,"March 05, 2018 at 03:30 PM",24,7,General information available to applicants.,1.0,,"January 03, 2018 at 10:59 AM",30.01.2018,March 2018
Financial Aid Verification Coordinator,0602127,Student Financial Aid ,0,Filled,"March 29, 2018 at 10:05 AM",21,11,General information available to applicants.,1.0,,"January 11, 2018 at 10:57 AM",19.02.2018,
Content & Messaging Specialist,0602128,Pathway,0,Filled,"March 13, 2018 at 04:50 PM",26,6,General information available to applicants.,1.00,,"January 12, 2018 at 08:26 AM",03.02.2018,March 2018
Senior Graphic Designer,0602129,Pathway,0,Filled,"March 12, 2018 at 12:45 PM",16,8,General information available to applicants.,1.00,,"January 12, 2018 at 09:06 AM",03.02.2018,March 2018
Communication Manager,0602130,Pathway,0,Filled,"April 06, 2018 at 04:40 PM",22,4,General information available to applicants.,1.00,,"January 12, 2018 at 09:23 AM",17.03.2018,April 2018
Marketing Faculty - Professional Sales - Anticipated for Fall 2018,0602132,Marketing,0,Filled,"May 14, 2018 at 03:40 PM",12,2,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"January 12, 2018 at 11:30 AM",28.02.2018,Tentatively 8/22/2018
Accounting Faculty - Anticipated for Fall 2018,0602133,Accounting,0,Filled,"May 14, 2018 at 04:17 PM",16,2,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"January 18, 2018 at 03:34 PM",28.02.2018,Tentatively 8/22/2018
Financial Aid Counseling Coordinator,0602134,Student Financial Aid ,0,Filled,"March 16, 2018 at 04:33 PM",28,5,General information available to applicants.,1.00,,"January 22, 2018 at 08:59 AM",19.02.2018,March or April 2018
Office Assistant,0602148,Computer Information Technology,0,Filled,"March 16, 2018 at 04:11 PM",20,9,General information available to applicants upon request.,.83,,"January 22, 2018 at 03:11 PM",16.02.2018,March 2018
Financial Aid Business Analyst,0602135,Student Financial Aid ,0,Filled,"March 14, 2018 at 11:23 AM",17,10,General information available to applicants.,1.00,,"January 22, 2018 at 03:35 PM",19.02.2018,March or April 2018
"Online Instructor Manager (Rexburg, ID located)",0602138,Online Learning Administration,0,Filled,"April 09, 2018 at 10:09 AM",30,12,General information available to applicants upon request.,1.00,,"January 24, 2018 at 04:07 PM",26.02.2018,April 2018
Financial Aid Eligibility Coordinator,0602142,Student Financial Aid ,0,Filled,"March 29, 2018 at 11:03 AM",15,4,General information available to applicants.,1.00,,"January 26, 2018 at 09:12 AM",24.02.2018,April 2018
Office Assistant (30 hours per week),0602144,Student Health Center,0,Filled,"March 07, 2018 at 10:54 AM",17,6,General information available to applicants.,.75,,"January 29, 2018 at 04:30 PM",22.02.2018,March 2018
Career and Academic College Coordinator,0602149,Career & Academic Advising,0,Filled,"April 02, 2018 at 04:28 PM",30,6,General information available to applicants.,1.00,,"February 01, 2018 at 11:07 AM",02.03.2018,April 2018
Domestic Area Director,0602150,Pathway,0,Filled,"June 08, 2018 at 04:21 PM",67,18,General information available to applicants.,1.00,,"February 07, 2018 at 11:44 AM",08.03.2018,April 2018
Pathway Area Manager,0602152,Pathway - International,0,Filled,"April 12, 2018 at 08:51 AM",76,28,General information available to applicants upon request.,1.00,,"February 08, 2018 at 01:08 PM",22.02.2018,March or April 2018
Ag Science Center Manager & Supervisor,0602166,Agriculture/Life Sciences,0,Filled,"June 11, 2018 at 10:17 AM",21,6,,1.00,,"February 09, 2018 at 02:59 PM",26.03.2018,May 2018
Counselor (2 Positions),0602156,Counseling,1,Filled,"May 25, 2018 at 07:59 AM",34,6,General information available to applicants.,1.00,,"February 09, 2018 at 04:16 PM",17.03.2018,April or May 2018 (flexible)
Transcription Specialist,0602153,Disability Services,0,Filled,"March 09, 2018 at 10:36 AM",3,0,,1,,"February 09, 2018 at 04:31 PM",01.03.2018,April 2018
Custodial Supervisor,0602157,Custodial Services,0,Filled,"March 28, 2018 at 11:55 AM",23,4,General information available to applicants.,1.00,No,"February 16, 2018 at 09:17 AM",02.03.2018,March or April 2018
Library Assistant,0602158,McKay Library,0,Filled,"May 11, 2018 at 01:58 PM",37,20,General information available to applicants upon request.,1.00,,"February 22, 2018 at 12:19 PM",17.03.2018,May or June 2018
CIT Faculty - Database Programming - Anticipated for Winter 2019,0602163,Computer Information Technology,0,Filled,"September 14, 2018 at 05:49 PM",7,8,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"March 05, 2018 at 03:32 PM",23.05.2018,Tentatively 1/1/2019
Chiller Technician,0602165,HVAC Shop,0,Filled,"April 03, 2018 at 11:33 AM",2,2,,1,,"March 06, 2018 at 01:33 PM",23.03.2018,April 2018
On-Campus Adjunct Faculty - CIT (Interest Application),0602171,Computer Information Technology,6,Closed,"October 01, 2018 at 12:00 AM",7,3,Dependent on education and experience.,,No,"March 20, 2018 at 03:34 PM",30.09.2018,
Mentor Operations Coordinator,0602172,Pathway,0,Filled,"August 09, 2018 at 04:56 PM",43,8,General information available to applicants.,1.00,,"March 21, 2018 at 02:08 PM",05.04.2018,May 2018
Academic Support Faculty (Academic Success & English) - Anticipated for Winter 2019,0602173,Academic Support Centers,0,Filled,"October 08, 2018 at 02:08 PM",32,5,Will be discussed during the formal interview process and is based on education and experience.,1.0,No,"March 26, 2018 at 03:20 PM",30.04.2018,Exact date to be determined; Winter Semester 2019 starts on
Mechanical Lab Manager,0602176,Engineering Technology,0,Closed,"June 06, 2018 at 04:00 PM",10,0,General information available to applicants upon request.,1.00,,"April 02, 2018 at 03:55 PM",17.04.2018,June 2018
HVAC Automation Technician,0602178,HVAC Shop,0,Filled,"May 11, 2018 at 02:02 PM",4,1,,1.00,,"April 06, 2018 at 03:20 PM",01.05.2018,June 2018
Senior Software Engineer,0602179,Information Technology,0,Filled,"May 22, 2018 at 01:31 PM",5,2,General information available upon request,1.00,,"April 13, 2018 at 12:48 PM",07.05.2018,June 2018
Project Manager,0602185,Information Technology,0,Filled,"June 13, 2018 at 01:24 PM",11,3,General information available to applicants.,1.00,,"April 23, 2018 at 05:09 PM",16.05.2018,
HVAC Apprentice,0602187,HVAC Shop,0,Filled,"May 24, 2018 at 10:22 AM",10,1,General information available to applicants upon request.,.75,,"April 25, 2018 at 02:00 PM",11.05.2018,
Painter,0602188,Campus Maintenance,0,Filled,"June 01, 2018 at 04:07 PM",6,1,General information available to applicants.,1.00,,"April 27, 2018 at 08:32 AM",14.05.2018,
Financial Aid Verification Manager,0602189,Student Financial Aid ,0,Filled,"June 25, 2018 at 02:54 PM",34,3,General information is available to applicants upon request.,1.00,,"May 08, 2018 at 08:36 AM",30.05.2018,June or July 2018
Financial Aid Coordinator (2 Positions),0602190,Student Financial Aid ,2,Filled,"June 25, 2018 at 02:54 PM",29,10,General information is available to applicants upon request.,1.00,,"May 08, 2018 at 03:19 PM",30.05.2018,June or July 2018
Online Curriculum Designer (2 Openings),0602191,Curriculum Development,0,Filled,"July 20, 2018 at 10:33 AM",26,7,General information available to applicants.,1.0,No,"May 09, 2018 at 02:45 PM",02.06.2018,July 2018
Production Assistant (Part-Time),0602192,Print and Copy Services,0,Filled,"June 14, 2018 at 03:35 PM",5,18,General information available to applicants.,0.5,,"May 11, 2018 at 02:32 PM",01.06.2018,June 2018
Office Assistant (Student Activities),0602194,Student Activities,0,Filled,"July 26, 2018 at 01:11 PM",37,9,General information available to applicants.,1.00,,"May 23, 2018 at 02:11 PM",09.06.2018,July or August 2018
Office Assistant (Mechanical and Civil Engineering Department),0602196,Mechanical and Civil Engineering,0,Filled,"August 22, 2018 at 08:29 AM",22,4,General information available to applicants.,1.00,,"June 01, 2018 at 11:44 AM",25.06.2018,June 2018
Online Adjunct Faculty--PC 101:  PathwayConnect Life Skills,0602235,Online Learning Administration,131,Closed,"November 20, 2019 at 12:44 PM",198,48,,,No,"June 05, 2018 at 12:04 PM",06.02.2019,
Student Services Manager,0602201,Pathway,0,Filled,"November 06, 2018 at 02:14 PM",40,5,General information available to applicants.,1.00,,"June 12, 2018 at 01:31 PM",01.08.2018,August 2018
Groundskeeper,0602203,Grounds,0,Filled,"July 25, 2018 at 03:04 PM",22,6,General information is available to applicants upon request.,1.00,,"June 15, 2018 at 11:18 AM",02.07.2018,August 2018
Back-Office Accounting Clerk,0602205,Accounting Services,0,Filled,"August 02, 2018 at 12:28 PM",14,3,General information available to applicants.,0.5,,"June 21, 2018 at 04:55 PM",13.07.2018,July 2018
Researcher (2 Openings),0602206,"Institutional Research
",0,Filled,"August 29, 2018 at 05:16 PM",20,8,General information available to applicants.,1.00,,"June 26, 2018 at 08:45 AM",28.07.2018,July or August 2018
Centre Square Manager (2 Positions),0602212,Housing & Student Living,0,Filled,"August 06, 2018 at 03:31 PM",59,25,General information is available to applicants upon request.,.70,,"June 27, 2018 at 11:20 AM",21.07.2018,September 2018
Missionary Services Multiple Openings (Part-Time),0602208,Pathway,20,Closed,"August 14, 2018 at 12:28 PM",21,9,Hourly rates starting at $12.50,,,"June 27, 2018 at 03:12 PM",14.08.2018,Varies
Data Analyst,0602209,"Institutional Research
",0,Filled,"September 26, 2018 at 04:59 PM",27,7,General information available to applicants.,1.00,,"June 28, 2018 at 10:19 AM",25.07.2018,
Economics Visiting Faculty - Anticipated for Fall 2019,0602213,Economics,1,Closed,"July 06, 2018 at 03:33 PM",1,0,Will be discussed during the formal interview process and is based on education and experience.,1.0,No,"July 02, 2018 at 03:07 PM",04.09.2018,Tentatively 8/27/2019
Economics Visiting Faculty - Anticipated for Fall 2019,0602214,Economics,0,Filled,"January 18, 2019 at 12:40 PM",4,0,Will be discussed during the formal interview process and is based on education and experience.,1.0,No,"July 06, 2018 at 03:35 PM",04.09.2018,Tentatively 8/27/2019
Mentor (Part-Time),0602228,Pathway,0,Filled,"August 29, 2018 at 07:11 PM",34,6,,.5,,"July 11, 2018 at 08:32 AM",21.08.2018,September 2018
Computer Science Faculty - 3 Openings Anticipated for Fall 2019,0602221,Computer Science & Elec Engineering,0,Filled,"April 01, 2019 at 12:02 PM",18,6,Will be discussed during the formal interview process and is based on education and experience.,1.0,No,"July 11, 2018 at 12:13 PM",29.09.2018,Tentatively 8/27/2019
